,Country,Year,GVA_per_hour,GVA_norm
109,CAN,2012,62.17779666,84.9045094
108,CAN,2013,65.11351795,88.91327119
107,CAN,2014,69.22214481,94.52364928
106,CAN,2015,73.23261992,100
105,CAN,2016,73.14239424,99.87679577
104,CAN,2017,79.8531762,109.0404471
103,CAN,2018,85.33665769,116.5282053
102,CAN,2019,86.34926696,117.9109351
101,CAN,2020,91.97499737,125.5929359
100,CAN,2021,95.3690924,130.2276124
79,DEU,2014,67.57689471,95.89089657
78,DEU,2015,70.47269046,100
77,DEU,2016,70.2245562,99.64790012
76,DEU,2017,72.080709,102.2817612
75,DEU,2018,74.06969978,105.1041181
74,DEU,2019,78.57179839,111.4925482
73,DEU,2020,82.29450896,116.775035
72,DEU,2021,87.54049748,124.2190371
71,DEU,2022,85.82634093,121.7866671
70,DEU,2023,90.98439935,129.1058973
159,FRA,2014,69.0841776,100.2593934
158,FRA,2015,68.90544145,100
157,FRA,2016,67.54871124,98.03102603
156,FRA,2017,63.2184574,91.74668368
155,FRA,2018,67.28629534,97.65019123
154,FRA,2019,64.71437999,93.91766257
153,FRA,2020,67.32359344,97.70432062
152,FRA,2021,69.29307189,100.5625542
151,FRA,2022,70.18479593,101.8566813
150,FRA,2023,57.81693186,83.90764305
49,GBR,2013,72.54209371,96.59059834
48,GBR,2014,74.90723705,99.7398128
47,GBR,2015,75.10264452,100
46,GBR,2016,79.02431919,105.2217531
45,GBR,2017,87.68805623,116.7576146
44,GBR,2018,84.80749923,112.9221212
43,GBR,2019,84.67030973,112.7394518
42,GBR,2020,86.41089178,115.057056
41,GBR,2021,91.22748919,121.4704086
40,GBR,2022,100.6440746,134.0086961
9,ITA,2014,77.12682397,102.1780233
8,ITA,2015,75.48279116,100
7,ITA,2016,73.74320528,97.69538744
6,ITA,2017,72.24554354,95.71127727
5,ITA,2018,74.16477136,98.25388041
4,ITA,2019,74.11794704,98.19184731
3,ITA,2020,78.99520372,104.6532627
2,ITA,2021,72.07816628,95.48953499
1,ITA,2022,84.89324764,112.4670224
0,ITA,2023,102.7382676,136.108199
